# 391 reported flooding locations from 3 BBMP layers. NOT a hazard model: no return period, depth or drainage. Absence of a nearby point is not evidence a location does not flood.
name,kind,source_layer,geometry_type,centroid_lng,centroid_lat,vertex_count
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.535323,12.932023,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.516858,12.932791,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.588972,12.932944,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.630389,12.933806,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.630139,12.934722,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.705013,12.936355,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.626417,12.936889,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.746844,12.938078,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.62875,12.938639,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.723178,12.938932,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.482942,12.942045,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.581472,12.943583,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.525586,12.944653,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.53507,12.945302,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.528937,12.94548,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.589639,12.946306,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.563378,12.947235,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.563375,12.947328,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.619194,12.947861,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.487694,12.949595,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.700679,12.949943,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.625889,12.950389,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.538597,12.950568,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.605611,12.951,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.599,12.951167,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.605944,12.951944,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.596833,12.952972,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.541253,12.953035,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.574283,12.953748,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.690549,12.955021,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.649048,12.955624,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.720545,12.955652,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.597028,12.956139,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.741044,12.956182,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.54258,12.956317,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.735939,12.95694,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.562083,12.957039,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.568681,12.957242,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.514429,12.957687,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.744919,12.958488,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.511303,12.959262,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.708075,12.959824,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.643056,12.961111,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.582806,12.962111,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.49191,12.96241,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.583972,12.962417,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.579806,12.963,1
