# OpenStreetMap amenities for chennai (T3, ODbL). Nearest is not jurisdictional — the closest government office is often not the one with jurisdiction.
id,category,name,name_kn,operator,is_government,lat,lng
node/300316947,bus_stop,Guindy Station,,,False,13.008133,80.213311
node/301736148,bus_stop,Eldams Road,,,False,13.038909,80.25004
node/301736149,bus_stop,Alwarpet,,,False,13.038081,80.255927
node/301736152,bus_stop,ஆழ்வார் பேட்டை,,,False,13.036222,80.25521
node/301736165,bus_stop,ஆழ்வார் பேட்டை,,,False,13.038754,80.258849
node/301736187,bus_stop,Vanavil,,,False,13.041495,80.247647
node/301736898,bus_stop,SIET,,,False,13.037953,80.24688
node/301736902,bus_stop,Stella Maris,,,False,13.047903,80.25387
node/301736903,bus_stop,Chola Sheraton,,,False,13.045882,80.256644
node/301736912,bus_stop,Music Academy,,,False,13.046469,80.260534
node/301736913,bus_stop,ஆழ்வார் பேட்டை,,,False,13.035108,80.257131
node/303010139,bus_stop,TTK Road,,,False,13.033221,80.252944
node/303010141,bus_stop,,,,False,13.035524,80.247442
node/303284240,bus_stop,General Hospital,,,False,13.081757,80.276756
node/303284248,bus_stop,Ripon Building,,,False,13.081261,80.271858
node/303510894,bus_stop,Nandanam YMCA,,,False,13.029835,80.237885
node/303512414,bus_stop,சைதாப்பேட்டை பாலம்,,,False,13.019564,80.224659
node/303536869,bus_stop,,,,False,13.029224,80.254162
node/303536872,bus_stop,,,,False,13.029389,80.25982
node/303569588,bus_stop,,,,False,13.029045,80.249268
node/303695784,bus_stop,Commissioner Office,,,False,13.073767,80.261816
node/303695785,bus_stop,Egmore Court,,,False,13.072688,80.262541
node/303695815,bus_stop,,,,False,13.078387,80.263655
node/304908971,bus_stop,,,,False,13.035344,80.250523
node/304920824,bus_stop,Aalandur Metro,,,False,13.003665,80.200704
node/304920825,bus_stop,,,,False,13.0025,80.200786
node/304921944,bus_stop,Egmore Station,,,False,13.077922,80.262386
node/305478863,bus_stop,Sadasiva Nagar,,,False,12.96567,80.203727
node/306551393,bus_stop,சைதாப்பேட்டை பாலம்,,,False,13.01926,80.224226
node/306551395,bus_stop,Vanavil,,,False,13.040553,80.247014
node/306551396,bus_stop,SIET,,,False,13.0373,80.246399
node/308301022,bus_stop,DMS,,,False,13.046791,80.248298
node/308811912,bus_stop,Vanuvampet,,,False,12.981693,80.195617
node/308917111,bus_stop,Pazhavanthangal Station,,,False,12.988008,80.185608
node/309062093,bus_stop,Simson,,MTC,False,13.070288,80.273803
node/309062094,bus_stop,P.Orr & Sons,,,False,13.070645,80.2737
node/309185794,bus_stop,Dams Road,,,False,13.067109,80.268571
node/309185812,bus_stop,LIC,,,False,13.06279,80.263699
node/309185820,bus_stop,TVS,,,False,13.059229,80.259705
node/309185827,bus_stop,TVS,,,False,13.059312,80.259461
node/309323593,bus_stop,,,,False,13.062727,80.244681
node/309323867,bus_stop,ஜெமினி,,,False,13.055035,80.249307
node/310100943,bus_stop,IIT/CLRI,,,False,13.006865,80.240725
node/310591980,bus_stop,மூவரசம்பேட்டை,,,False,12.96999,80.186341
node/310592291,bus_stop,Axis bank,,,False,12.966134,80.188566
node/310592748,bus_stop,Ponniamman Koil,,,False,12.964764,80.19644
node/310593525,bus_stop,Balaiah Garden,,,False,12.965481,80.200304
node/310593794,bus_stop,Kaiveli,,,False,12.963642,80.215305
node/310729808,bus_stop,Yellow Pages,,,False,13.044513,80.268548
node/312031432,bus_stop,Gandhinagar,,,False,13.006844,80.24938
node/312686129,bus_stop,Ajanta,,,False,13.047315,80.266331
node/313135889,bus_stop,,,,False,13.056505,80.254939
node/313159416,bus_stop,Guru Nanak College,,MTC,False,12.990968,80.219987
node/313442701,bus_stop,Vetrivel Theatre,,,False,12.979639,80.182978
node/313783576,bus_stop,Vannanthurai,,,False,12.996318,80.262457
node/315888034,bus_stop,Royapettah High Road Police Station,,,False,13.052317,80.263756
node/316066248,bus_stop,Secretariat,,,False,13.080374,80.288367
node/316244808,bus_stop,,,,False,13.052009,80.257683
node/316244809,bus_stop,Shanti Theatre,,,False,13.067256,80.270566
node/316244810,bus_stop,Thousand Lights,,,False,13.056522,80.256436
node/317827746,bus_stop,Jayanti,,,False,12.988507,80.255881
node/317827781,bus_stop,Jayanti,,,False,12.988399,80.255959
node/318066696,bus_stop,Marudeeswarar Temple,,,False,12.985301,80.259637
node/318069500,bus_stop,Thiruvanmiyur ECR Moffusil Bus stop,,,False,12.985808,80.259725
node/319473140,bus_stop,,,,False,13.067773,80.255043
node/325191477,bus_stop,Madhya Kailash,,MTC,False,13.006189,80.247537
node/325191941,bus_stop,IIT/CLRI,,,False,13.006515,80.2416
node/330654132,bus_stop,,,IIT-M,False,12.986562,80.238517
node/330780587,bus_stop,,,,False,12.988515,80.229819
node/330780590,bus_stop,Taramani Guest House,,,False,12.986715,80.233215
node/330780591,bus_stop,,,,False,12.98656,80.235387
node/334222809,bus_stop,,,,False,13.043982,80.268377
node/334222896,bus_stop,New Woodlands Hotel,,,False,13.044813,80.2633
node/334267136,bus_stop,Spencers,,,False,12.996013,80.2678
node/334713155,bus_stop,Banyan Tree,,,False,13.011015,80.259271
node/334713159,bus_stop,Malar Hospital,,,False,13.007848,80.258729
node/343721497,bus_stop,ஆழ்வார் பேட்டை,,,False,13.038619,80.25884
node/344411089,bus_stop,Sterling Road,,,False,13.063501,80.243453
node/353719171,bus_stop,,,,False,12.995154,80.187376
node/355515114,bus_stop,Chola Sheraton,,,False,13.046209,80.256558
node/355550113,bus_stop,Egmore Station,,,False,13.077512,80.261881
node/356274121,bus_stop,Ice House stop,,,False,13.049045,80.280484
node/356277093,bus_stop,LIC,,,False,13.066518,80.268722
node/357233537,bus_stop,Kannagi Statue,,,False,13.05639,80.281739
node/357233543,bus_stop,Kannagi Statue,,,False,13.056797,80.282009
node/360807238,bus_stop,,,,False,13.059465,80.247671
node/360807295,bus_stop,Taj Hotel,,,False,13.059469,80.248064
node/362227770,bus_stop,MRC Nagar,,,False,13.020774,80.269909
node/365279752,bus_stop,DMS,,,False,13.047013,80.248706
node/365957307,bus_stop,Nandambakkam,,,False,13.016657,80.189233
node/365983874,bus_stop,Saidapet Court,,,False,13.013981,80.226527
node/366855005,bus_stop,DPI,,,False,13.067251,80.253857
node/370969649,bus_stop,காட்டுப்பாக்கம்,,,False,13.040857,80.128079
node/370969652,bus_stop,,,,False,13.040727,80.12798
node/370969655,bus_stop,அய்யப்பன்தாங்கல்,,,False,13.038163,80.135238
node/370969661,bus_stop,,,,False,13.036855,80.142299
node/370969664,bus_stop,போரூர்,,,False,13.035475,80.154233
node/370969668,bus_stop,,,,False,13.036578,80.142641
node/370969671,bus_stop,Porur Flyover,,,False,13.034984,80.155186
node/370969686,bus_stop,,,,False,13.032279,80.163733
node/370969689,bus_stop,,,,False,13.03206,80.163599
node/370969697,bus_stop,Mugalivakkam,,,False,13.029474,80.168324
node/370969700,bus_stop,Moon lite,,,False,13.024939,80.176834
node/370969702,bus_stop,Moon lite,,,False,13.024692,80.176812
node/371720100,bus_stop,Thalankuppam,,,False,13.224932,80.327908
node/373156194,bus_stop,,,,False,12.90575,80.167837
node/373156197,bus_stop,Jayanagar Bus Stop,,,False,12.890153,80.184446
node/373156202,bus_stop,,,,False,12.907515,80.198677
node/373169717,bus_stop,,,,False,13.158755,80.298403
node/373169886,bus_stop,,,,False,13.159283,80.302167
node/378688565,bus_stop,Woodlands,,,False,13.051341,80.251634
node/378688568,bus_stop,Woodlands,,,False,13.051475,80.251885
node/384486247,bus_stop,Purasawalkam,,,False,13.079959,80.254787
node/386002530,bus_stop,,,,False,13.03037,80.238274
node/386002531,bus_stop,,,,False,13.029554,80.243774
node/389516314,bus_stop,SIET,,,False,13.036874,80.246682
node/389964617,bus_stop,KK Nagar West MTC Terminus,,,False,13.044188,80.193677
node/391823865,bus_stop,Kathipara,,,False,13.007357,80.201803
node/391823888,bus_stop,Butt Road,,,False,13.007339,80.196962
node/393765035,bus_stop,,,,False,13.085263,80.285492
node/393765044,bus_stop,Law College,,,False,13.087597,80.285252
