# 23,324 BBMP road segments. TWO WIDTH COLUMNS: width_existing_m and width_proposed_m. The proposed figure is larger on 100% of segments (median 18 m vs 9 m) and MUST NOT be used for FAR, height or setback. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
road_id,hierarchy_code,hierarchy_interpretation_unverified,surface_code,width_existing_m,width_proposed_m,length_m,geometry_type,centroid_lng,centroid_lat,vertex_count
116886,MI,Minor road (unverified expansion),W,6.0,12.0,1407.2,LineString,77.55661,13.125678,48
98877,MA,Major road (unverified expansion),W,9.0,18.0,160.7,LineString,77.684313,13.039315,16
230082,MA,Major road (unverified expansion),W,12.0,24.0,873.9,LineString,77.669898,13.047694,130
229935,MA,Major road (unverified expansion),W,12.0,24.0,61.1,LineString,77.528852,12.999198,8
569,MA,Major road (unverified expansion),C,15.0,30.0,652.6,LineString,77.478363,13.0294,2
576,MA,Major road (unverified expansion),C,12.0,24.0,916.5,LineString,77.719939,12.972608,6
652,MI,Minor road (unverified expansion),C,6.0,12.0,166.6,LineString,77.665729,12.927073,3
406,MA,Major road (unverified expansion),C,9.0,18.0,1062.4,LineString,77.54845,12.888472,12
423,MA,Major road (unverified expansion),C,12.0,24.0,269.6,LineString,77.581999,12.866195,6
10,MI,Minor road (unverified expansion),C,6.0,12.0,200.6,LineString,77.598556,12.85556,2
577,MA,Major road (unverified expansion),C,12.0,24.0,154.0,LineString,77.714343,12.973007,3
58,MA,Major road (unverified expansion),C,15.0,30.0,688.4,LineString,77.695285,12.894413,2
570,MA,Major road (unverified expansion),C,15.0,30.0,1026.0,LineString,77.566315,13.028132,11
571,MA,Major road (unverified expansion),C,12.0,24.0,288.1,LineString,77.560496,13.011135,4
127,MA,Major road (unverified expansion),C,12.0,24.0,280.0,LineString,77.635896,12.893133,5
148,MA,Major road (unverified expansion),C,12.0,24.0,400.9,LineString,77.571683,12.871688,4
149,MA,Major road (unverified expansion),C,12.0,24.0,207.2,LineString,77.588948,12.892805,4
395,MI,Minor road (unverified expansion),C,6.0,12.0,99.1,LineString,77.561542,12.894077,2
451,MI,Minor road (unverified expansion),C,8.0,15.0,439.9,LineString,77.590152,12.877543,6
455,MA,Major road (unverified expansion),C,9.0,18.0,441.0,LineString,77.560554,12.863897,3
19,MI,Minor road (unverified expansion),C,6.0,12.0,65.6,LineString,77.67004,12.974631,4
578,MA,Major road (unverified expansion),C,12.0,24.0,76.0,LineString,77.71181,12.973112,2
21,MA,Major road (unverified expansion),C,12.0,24.0,2310.8,LineString,77.696928,12.964235,114
623,MI,Minor road (unverified expansion),C,8.0,15.0,350.8,LineString,77.493747,13.033242,7
308,MA,Major road (unverified expansion),C,12.0,24.0,688.6,LineString,77.66736,12.882309,7
309,MA,Major road (unverified expansion),C,12.0,24.0,1014.3,LineString,77.660064,12.883081,6
210,MI,Minor road (unverified expansion),C,6.0,12.0,78.0,LineString,77.519776,12.977459,2
0,MA,Major road (unverified expansion),,12.0,24.0,19.1,LineString,77.581989,12.89704,2
0,MA,Major road (unverified expansion),,12.0,24.0,10.6,LineString,77.582047,12.897159,3
0,MA,Major road (unverified expansion),,12.0,24.0,62.3,LineString,77.582227,12.897386,5
18955,OR,Outer Ring Road (unverified expansion),W,22.0,45.0,2797.5,LineString,77.518407,12.956288,244
649,MA,Major road (unverified expansion),C,12.0,24.0,13.6,LineString,77.604001,13.058197,4
649,MA,Major road (unverified expansion),C,12.0,24.0,657.7,LineString,77.598284,13.059048,37
32609,MA,Major road (unverified expansion),W,12.0,24.0,759.0,LineString,77.531013,12.956711,78
31083,MI,Minor road (unverified expansion),W,6.0,12.0,467.6,LineString,77.518421,12.956556,20
31083,MI,Minor road (unverified expansion),W,6.0,12.0,59.2,LineString,77.503342,12.946007,6
31085,MA,Major road (unverified expansion),W,12.0,24.0,56.3,LineString,77.518888,12.958382,3
77463,MA,Major road (unverified expansion),W,9.0,18.0,112.1,LineString,77.559658,13.103238,13
18955,OR,Outer Ring Road (unverified expansion),W,22.0,45.0,2877.0,LineString,77.516432,12.979112,97
417,MA,Major road (unverified expansion),C,9.0,18.0,167.4,LineString,77.555029,12.868708,4
422,MA,Major road (unverified expansion),C,9.0,18.0,109.6,LineString,77.571786,12.863147,8
552,MI,Minor road (unverified expansion),C,8.0,15.0,589.3,LineString,77.698319,12.89026,9
553,MA,Major road (unverified expansion),C,12.0,24.0,1585.5,LineString,77.690209,12.891537,19
391,MA,Major road (unverified expansion),C,12.0,24.0,69.3,LineString,77.557962,12.862832,2
366,MA,Major road (unverified expansion),C,12.0,24.0,229.0,LineString,77.709069,13.040928,3
367,MA,Major road (unverified expansion),C,12.0,24.0,253.1,LineString,77.709777,13.044767,3
530,MA,Major road (unverified expansion),C,12.0,24.0,763.1,LineString,77.64632,13.094474,10
531,MI,Minor road (unverified expansion),C,6.0,12.0,72.9,LineString,77.626841,13.0653,3
532,MA,Major road (unverified expansion),C,9.0,18.0,3020.0,LineString,77.616473,13.061369,25
651,MI,Minor road (unverified expansion),C,8.0,15.0,720.4,LineString,77.665857,12.894064,5
12,MA,Major road (unverified expansion),C,9.0,18.0,3005.7,LineString,77.686841,12.897441,24
13,MA,Major road (unverified expansion),C,12.0,24.0,686.5,LineString,77.678811,12.877293,8
59,MI,Minor road (unverified expansion),C,8.0,15.0,676.2,LineString,77.704612,12.892794,4
62,MA,Major road (unverified expansion),C,9.0,18.0,705.1,LineString,77.681033,12.920004,7
72,MI,Minor road (unverified expansion),C,6.0,12.0,174.9,LineString,77.602862,13.081052,4
73,MI,Minor road (unverified expansion),C,6.0,12.0,917.2,LineString,77.597256,13.081602,3
29,MA,Major road (unverified expansion),C,9.0,18.0,107.5,LineString,77.694882,12.967693,2
580,MA,Major road (unverified expansion),C,9.0,18.0,1528.0,LineString,77.516275,13.094881,11
63,MA,Major road (unverified expansion),C,9.0,18.0,18.7,LineString,77.746657,12.938167,2
664,MA,Major road (unverified expansion),C,9.0,18.0,651.8,LineString,77.727546,12.959977,5
665,MA,Major road (unverified expansion),C,12.0,24.0,135.1,LineString,77.761356,12.964163,2
66,MA,Major road (unverified expansion),C,9.0,18.0,822.1,LineString,77.71463,12.923013,4
0,MA,Major road (unverified expansion),C,15.0,30.0,548.4,LineString,77.685189,12.92736,6
68,MA,Major road (unverified expansion),C,15.0,30.0,260.7,LineString,77.711743,12.918147,2
0,MI,Minor road (unverified expansion),W,8.0,15.0,146.4,LineString,77.663891,13.017547,5
0,MI,Minor road (unverified expansion),C,8.0,15.0,14.2,LineString,77.667471,13.017093,2
230162,MA,Major road (unverified expansion),W,15.0,30.0,173.9,LineString,77.694975,12.898229,14
1200,MI,Minor road (unverified expansion),W,8.0,15.0,286.2,LineString,77.676131,13.037875,16
650,MA,Major road (unverified expansion),C,12.0,24.0,269.7,LineString,77.600211,13.058812,3
310,MA,Major road (unverified expansion),C,9.0,18.0,1320.5,LineString,77.604642,12.857852,17
313,MA,Major road (unverified expansion),C,9.0,18.0,239.1,LineString,77.677747,12.915115,5
522,MA,Major road (unverified expansion),C,12.0,24.0,71.4,LineString,77.669807,13.044046,2
160,MI,Minor road (unverified expansion),C,6.0,12.0,34.5,LineString,77.57695,13.048506,2
464,MA,Major road (unverified expansion),C,12.0,24.0,261.6,LineString,77.736178,13.033117,4
161848,MA,Major road (unverified expansion),W,12.0,24.0,50.8,LineString,77.651358,12.865505,7
0,MA,Major road (unverified expansion),,12.0,24.0,21.0,LineString,77.582615,12.897817,2
105656,MA,Major road (unverified expansion),W,12.0,24.0,872.4,LineString,77.555179,13.008759,39
105656,MA,Major road (unverified expansion),W,12.0,24.0,454.8,LineString,77.550519,13.006828,4
105656,MA,Major road (unverified expansion),W,12.0,24.0,200.2,LineString,77.547362,13.005261,5
0,MA,Major road (unverified expansion),C,12.0,24.0,3766.3,LineString,77.445735,12.954833,10
0,MA,Major road (unverified expansion),C,12.0,24.0,694.1,LineString,77.451673,12.968426,53
0,MA,Major road (unverified expansion),C,12.0,24.0,1109.5,LineString,77.444851,12.971477,95
27327,MA,Major road (unverified expansion),W,9.0,18.0,183.5,LineString,77.446802,12.876409,13
27327,MA,Major road (unverified expansion),W,9.0,18.0,343.9,LineString,77.433686,12.873315,15
169,MA,Major road (unverified expansion),C,12.0,24.0,12.6,LineString,77.749344,13.006097,2
169,MA,Major road (unverified expansion),C,12.0,24.0,527.2,LineString,77.751075,13.006011,52
169,MA,Major road (unverified expansion),C,12.0,24.0,3.5,LineString,77.749386,13.006095,2
170,MA,Major road (unverified expansion),C,12.0,24.0,330.9,LineString,77.755539,13.004123,5
220,MA,Major road (unverified expansion),C,12.0,24.0,1741.3,LineString,77.726988,12.961726,10
463,MA,Major road (unverified expansion),C,12.0,24.0,2244.6,LineString,77.74744,13.02821,9
219,MA,Major road (unverified expansion),C,12.0,24.0,22.4,LineString,77.762388,12.972162,2
196,MA,Major road (unverified expansion),C,15.0,30.0,124.7,LineString,77.564629,13.084289,7
377,MI,Minor road (unverified expansion),C,8.0,15.0,239.5,LineString,77.600386,12.956226,4
171,MA,Major road (unverified expansion),C,12.0,24.0,1406.2,LineString,77.765778,13.001681,6
579,MI,Minor road (unverified expansion),C,8.0,15.0,59.8,LineString,77.722038,12.960044,2
315,MA,Major road (unverified expansion),C,9.0,18.0,292.8,LineString,77.626863,13.036205,8
316,MA,Major road (unverified expansion),C,12.0,24.0,433.2,LineString,77.67523,13.038024,6
461,MA,Major road (unverified expansion),C,12.0,24.0,66.9,LineString,77.753062,13.037568,2
523,MA,Major road (unverified expansion),C,12.0,24.0,103.5,LineString,77.671701,13.051483,2
675,MA,Major road (unverified expansion),C,9.0,18.0,285.4,LineString,77.710793,13.025701,2
646,MI,Minor road (unverified expansion),C,6.0,12.0,64.9,LineString,77.603501,13.081942,2
18,MA,Major road (unverified expansion),C,12.0,24.0,54.7,LineString,77.625421,12.944933,2
0,MA,Major road (unverified expansion),W,12.0,24.0,163.1,LineString,77.575536,12.984051,2
0,MA,Major road (unverified expansion),W,12.0,24.0,64.1,LineString,77.576607,12.983825,4
0,MA,Major road (unverified expansion),W,12.0,24.0,23.2,LineString,77.576944,12.983773,3
211,MA,Major road (unverified expansion),C,12.0,24.0,94.0,LineString,77.528095,12.999038,2
635,MA,Major road (unverified expansion),C,12.0,24.0,207.6,LineString,77.509472,12.896059,3
635,MA,Major road (unverified expansion),C,12.0,24.0,823.2,LineString,77.509304,12.899774,12
17,MA,Major road (unverified expansion),C,12.0,24.0,385.7,LineString,77.626477,12.95077,7
24,IR,Inner Ring Road (unverified expansion),C,15.0,30.0,1712.8,LineString,77.600597,13.008574,19
25,IR,Inner Ring Road (unverified expansion),C,15.0,30.0,53.0,LineString,77.611801,13.001939,4
32,MA,Major road (unverified expansion),C,9.0,18.0,65.2,LineString,77.520321,12.997246,3
624,MA,Major road (unverified expansion),C,9.0,18.0,92.9,LineString,77.51407,12.892309,2
