# OpenStreetMap localities for bengaluru (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Chimasandra,ಚೀಮಸಂದ್ರ,village,13.047862,77.738916
Avalahalli,ಅವಲಹಳ್ಳಿ,quarter,12.943746,77.540204
Kalkere,ಕಾಲ್ಕೆರೆ,neighbourhood,13.03509,77.673808
Jayantinagara,ಜಯಂತಿನಗರ,neighbourhood,13.027639,77.665937
Byappanahalli,ಬೈಪನಹಳ್ಳಿ,village,13.072126,77.720016
Marathahalli,ಮಾರತಹಳ್ಳಿ,suburb,12.955257,77.698416
Ashwath Nagar,ಅಶ್ವಥ ನಗರ,neighbourhood,12.958255,77.703124
Hemanth Nagar,ಹೇಮಂತನಗರ,locality,12.960877,77.702227
Ananda Nagara,ಆನಂದ ನಗರ,neighbourhood,12.961037,77.700531
Doddanekundi,ದೊಡ್ಡನೆಕುಂದಿ,quarter,12.971319,77.696477
KR Puram,ಕೃಷ್ಣರಾಜಪುರ,suburb,13.007516,77.695935
ITI Colony,,neighbourhood,13.033873,77.567846
Ramamurthy Nagar,ರಾಮಮೂರ್ತಿ ನಗರ,suburb,13.012022,77.677782
Kasturi Nagar,ಕಸ್ತೂರಿ ನಗರ,quarter,13.004498,77.660323
Poojappa Layout,ಪೂಜಪ್ಪ ಲೇಔಟ್,neighbourhood,13.034789,77.643524
Babusabpalya,ಬಾಬುಸಪಾಳ್ಯ,neighbourhood,13.028352,77.650469
GNR Gardens,ಜಿಎನ್ಆರ್ ಗಾರ್ಡನ್ಸ್,neighbourhood,13.029946,77.646366
Baiyyappanahalli,ಬೈಯಪ್ಪನಹಳ್ಳಿ,suburb,12.996341,77.65332
Banaswadi,ಬಾಣಸವಾಡಿ,suburb,13.014162,77.651854
Yeswanthpur,ಯಶ್ವಂತಪುರ,suburb,13.022184,77.553082
Nandini Layout,ನಂದಿನಿ ಲೇಔಟ್,quarter,13.011974,77.534826
Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,quarter,12.908945,77.623904
BTM Layout,ಬಿಟಿಎಂ ಲೇಔಟ್,suburb,12.914001,77.610282
Puttenahalli,ಪುಟ್ಟೆನಹಳ್ಳಿ,neighbourhood,13.110425,77.580759
Padmanabha Nagar,ಪದ್ಮನಾಭ ನಗರ,quarter,12.916279,77.556075
ISRO Layout,ಇಸ್ರೋ ಬಡಾವಣೆ,quarter,12.897428,77.557383
Kumaraswamy Layout,ಕುಮಾರಸ್ವಾಮಿ ಬಡಾವಣೆ,quarter,12.906768,77.559502
Rajarajeshwari Nagar,ರಾಜರಾಜೇಶ್ವರಿ ನಗರ,suburb,12.927441,77.515522
Jnana Bharathi,ಜ್ಞಾನ ಭಾರತಿ,suburb,12.943349,77.511233
Goragunte Palya,ಗೊರಗುಂಟೆ ಪಾಳ್ಯ,quarter,13.026772,77.5374
Indiranagar,ಇಂದಿರಾನಗರ,suburb,12.973291,77.640467
Iblur,ಇಬ್ಬಲೂರು,quarter,12.922544,77.663343
Bellanduru,ಬೆಳ್ಳಂದೂರು,suburb,12.929211,77.677042
HSR Layout,ಎಚ್ಎಸ್ಆರ್ ಲೇಔಟ್,suburb,12.911623,77.638862
Anjanapura,ಅಂಜನಾಪುರ,suburb,12.860131,77.554059
Okalipuram,ಓಕಳಿಪುರಂ,quarter,12.983282,77.566032
Ramachandra Pura,ರಾಮಚಂದ್ರಪುರ,neighbourhood,12.985184,77.562222
Kengeri,ಕೆಂಗೇರಿ,suburb,12.922973,77.484293
Jayamahal Extension,ಜಯಮಹಲ್ ಎಕ್ಸ್‌ಟೆನ್ಷನ್,neighbourhood,13.001106,77.596958
Anantnagar,ಅನಂತನಗರ,neighbourhood,12.837595,77.686558
Electronics City Phase 1,ಎಲ್ಕಟ್ರಾನಿಕ್ಸ್ ಸಿಟಿ ೧ನೇ ಹಂತ,quarter,12.849678,77.664975
Konappana Agrahara,ಕೋನಪ್ಪನ ಅಗ್ರಹಾರ,neighbourhood,12.852862,77.668169
Hebbagodi,ಹೆಬ್ಬಗೋಡಿ,neighbourhood,12.826702,77.679975
Bettadasanpura,ಬೆಟ್ಟದಸನಪುರ,neighbourhood,12.84204,77.632251
Neelasandra,ನೀಲಸಂದ್ರ,quarter,12.952179,77.614092
