# OpenStreetMap localities for chennai (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Ambattur,ಅಂಬತ್ತೂರು,suburb,13.119375,80.150765
Mogappair East,முகப்பேர் கிழக்கு,suburb,13.083514,80.184078
GingerBread,,locality,13.080216,80.173696
Korattur,கொரட்டூர்,suburb,13.111548,80.184627
Foreshore Estate,பட்டினம்பாக்கம்,suburb,13.024921,80.277687
Srinagar Colony,ஸ்ரீநகர் காலனி,neighbourhood,13.013467,80.230278
Nanganallur,நங்கநல்லூர்,suburb,12.980124,80.184902
Madipakkam,மடிப்பாக்கம்,suburb,12.961135,80.200129
Kannan Nagar,கண்ணன் நகர்,neighbourhood,12.969907,80.189316
Balaji Nagar,பாலாஜி நகர்,neighbourhood,12.972164,80.190572
Puzhuthivakkam,புழுதிவாக்கம்,suburb,12.969143,80.206263
Ram Nagar,ராம் நகர்,neighbourhood,12.965356,80.211813
Sadasiva Nagar,சதாசிவ நகர்,neighbourhood,12.965129,80.202854
Ernavur,எர்ணாவூர்,suburb,13.189355,80.311138
Tondiarpet,தண்டையார்பேட்டை,suburb,13.127767,80.289585
Kodungaiyur,கொடுங்கையூர்,suburb,13.132753,80.244477
Manali,மணலி,suburb,13.167227,80.259811
Old Washermanpet,பழைய வண்ணாரப்பேட்டை,neighbourhood,13.112276,80.289381
Tollgate,,neighbourhood,13.142953,80.295574
Grace Garden,,neighbourhood,13.11809,80.291473
Korukkupet,கோருக்குப்பெட்டை,suburb,13.121534,80.283791
New Washermanpet,புதிய வண்ணாரப்பேட்டை,suburb,13.133866,80.290359
Jeeva Nagar,ஜீவா நகர்,locality,13.139297,80.291589
Cherian Nagar,,neighbourhood,13.138415,80.297156
Kannadasan Nagar,கண்ணதாசன் நகர்,locality,13.129767,80.261954
Muthamizh Nagar,முத்தமிழ் நகர்,locality,13.133472,80.249571
Rajarathinam Colony,ராஜரத்தினம் காலனி,locality,13.128559,80.267649
Chinna Kodungaiyur,சின்ன கொடுங்கையூர்,suburb,13.143822,80.250149
MKB Nagar,,locality,13.122533,80.263137
Pulianthope,புளியந்தோப்பு,suburb,13.100385,80.268312
Vepery,வேப்பேரி,suburb,13.084295,80.262274
Purasawalkam,புரசைவாக்கம்,suburb,13.089327,80.255033
Sembiyam,,locality,13.122013,80.241216
Agaram,அகரம்,locality,13.11586,80.230041
GKM Colony,,locality,13.111915,80.220702
SIDCO Nagar,சிட்கோ நகர்,locality,13.10756,80.200961
Postal Colony,தபால் காலனி,neighbourhood,13.036329,80.219548
