# 4,151 survey parcels from digitised Bengaluru Urban revenue sheets. COVERAGE IS PARTIAL (3 taluks, 7 hoblis). A survey number here is INDICATIVE and settles nothing about boundary or title. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
taluk,hobli,village,survey_number,pcode,district,source_sheet,geometry_type,centroid_lng,centroid_lat,vertex_count
Bangalore East,Krishnarajapura,Basavanapura,25,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.708809,13.004666,937
Bangalore East,Krishnarajapura,Basavanapura,20,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.714274,13.004998,8
Bangalore East,Krishnarajapura,Basavanapura,STREAM,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.708773,13.004529,1818
Bangalore East,Krishnarajapura,Basavanapura,25,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.70872,13.004403,892
Bangalore East,Krishnarajapura,Bendeganahalli,43,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66274,13.000811,21
Bangalore East,Krishnarajapura,Bendeganahalli,48,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665855,13.001237,15
Bangalore East,Krishnarajapura,Bendeganahalli,47_TANK,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.664779,13.000065,20
Bangalore East,Krishnarajapura,Bendeganahalli,49,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667058,13.000852,13
Bangalore East,Krishnarajapura,Bendeganahalli,44,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663558,13.000551,10
Bangalore East,Krishnarajapura,Bendeganahalli,42,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.6606,13.000177,18
Bangalore East,Krishnarajapura,Bendeganahalli,50,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66691,12.999958,16
Bangalore East,Krishnarajapura,Bendeganahalli,40,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659119,13.000507,13
Bangalore East,Krishnarajapura,Bendeganahalli,33,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.656778,12.999421,13
Bangalore East,Krishnarajapura,Bendeganahalli,41,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.660228,12.99995,7
Bangalore East,Krishnarajapura,Bendeganahalli,32,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.654627,12.998077,26
Bangalore East,Krishnarajapura,Bendeganahalli,25,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.650666,12.999187,24
Bangalore East,Krishnarajapura,Bendeganahalli,39,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659468,12.999443,9
Bangalore East,Krishnarajapura,Bendeganahalli,RAILWAY,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659656,12.995424,50
Bangalore East,Krishnarajapura,Bendeganahalli,45,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.662307,12.99834,15
Bangalore East,Krishnarajapura,Bendeganahalli,37,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.661249,12.99912,8
Bangalore East,Krishnarajapura,Bendeganahalli,52,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666689,12.999214,5
Bangalore East,Krishnarajapura,Bendeganahalli,51,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666283,12.999134,6
Bangalore East,Krishnarajapura,Bendeganahalli,53,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667404,12.998728,6
Bangalore East,Krishnarajapura,Bendeganahalli,34,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.658694,12.998249,13
Bangalore East,Krishnarajapura,Bendeganahalli,38,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.660003,12.998739,8
Bangalore East,Krishnarajapura,Bendeganahalli,54,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66785,12.998323,17
Bangalore East,Krishnarajapura,Bendeganahalli,55_TANK,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666298,12.996707,22
